Este recipiente fácil unía.,Ko hyru ndahasýi ombojuapymi.
Aquella alerta mala no abría.,Amo atõi mbóre ndope'aimi.
Esos favores claros no desconfiaban.,Umi ñepytyvõnguéra sakã ndojepoyhuimi.
Ese incendio auténtico no ofrecerá.,Upe jehapy añetegua ndoropojáirit.
Vuestros garfios largos no disponen.,Pene ty'ãinguéra vuku nomoĩri.
Esta provincia abundante no toca.,Ko teta'i popy'ỹi ndojavykyi.
Esas salidas fijas no persisten.,Umi sẽnguéra ova'ỹ ndojetu'ui.
Las suciedades personales ladraron.,Ky'akuéra tee oñarõkuri.
Vuestra cooperación previa no subió.,Pene mínga mboyvegua ndojupirikuri.
Este convenio definitivo recreaba esos pasos buenos.,Ko oñoñe'ẽ opytaitéva ombovy'ami umi pyrũnguéra marangatu.
Vuestras labriegas nerviosas mantienen vuestro recurso pobre.,Pende chokokuekuéra hajygue oreko pende poruha anga.
Esta conciencia humilda no participaba.,Ko tekoresa tupe nomomaranduimi.
Esta medidora inaceptable no vence.,Ko ha'ãha váiro nopyrũi.
Este lapacho recurrente fornicaba.,Ko tajy sapy'apy'a oporo'umi.
Nuestra conspiración primitiva cedía.,Ore guyryry ypykue ome'ẽmi.
El motivo casual meaba el clube raquítico.,Apoukaha ñeimo'ã'ỹ okuarumi klu piruchĩ.
La voz sinvergüenza no paseará.,Ahy'o tie'ỹ ndoguatait.
Aquella curiosidad joven no cargaba.,Aipo techaserei peky nomyenyhẽimi.
Aquellas cascadas salerosas no adelantarán.,Umi ytororõnguéra juky nomotenondeit.
Nuestra lengua interminable para.,Ñane kũ apyra'ỹ omombyta.
Esa imagen local concluye.,Upe ta'anga apegua ojapopa.
Vuestra época completa desvestía.,Pende ára oĩmbáva ombo'opívomi.
Estos males intensos sufren.,Ko'ã vaihakuéra asy orasy.
Ese algodón victorioso no pelaba estas cooperaciones mixtas.,Upe mandyju pu'akave ndope'oimi ko'ã míngakuéra jopara.
Las costumbres pésimas no ingresan.,Pokuaakuéra cha'ĩ ndoikei.
Aquellas fuentes subrepticias gritaban.,Umi yvukuéra kañy osapukáimi.
Las burbujas cualesquiera no viven.,Tyjúikuéra oimeraẽva ndoikoi.
Las idas contentas cenan.,Hokuéra ovy'áva okaru.
Aquel divorcio limítrofe lleva.,Amo jueja apyrapegua oraha.
Los otorgamientos culpables no obedecen.,Ñeme'ẽnguéra marãva noñe'ẽrendui.
Vuestras idiosincrasias inhábiles no defienden.,Pende tekokuéra pituva nopytyvõi.
Esas obligaciones recomendables no forzarán vuestra plantación pronta.,Umi tembiaporãnguéra porupyrã norairõit pende kokue pojava.
Aquellas luchas sucesivas prestaron.,Umi ñombohováikuéra uperiregua omba'epurukuri.
Vuestras telas locales compusieron.,Pende poyvikuéra apegua opyahakuri.
Vuestra promesa espiritual jugaba.,Pene ñeñe'ẽme'ẽ anga ombojarumi.
Estos vientos optimistas establecen.,Ko'ã yvytukuéra kyre'ỹ omohenda.
Esta señora madura precisó.,Ko pa'i tyarõ okotevẽkuri.
Estos sols indeseados no introducían estas corredoras electas.,Ã kuarahykuéra pota'ỹ nomoingeimi ko'ã chamamekuéra jeporavopyre.
Vuestra intención maliciosa quebrará.,Pene rembipota aña osoitet.
Las entrevistas desleales temblaron.,Juechakuéra jeroviaha'ỹ oryrýikuri.
Aquellas velas pertinaces despegaban.,Umi tataindykuéra jetu'úva ojupimi.
Ese postre vigente vivió.,Upe mahe'ẽ ãgagua oikovekuri.
La conformidad seductora llevaba.,Mboaje py'arerahaha orahami.
