Este recipiente fácil unía.,Ko hyru ndahasýi ombojuapymi.
Aquella alerta mala no abría.,Ako atõi mbóre nomboty'oimi.
Esos favores claros no desconfiaban.,Umi apoporãmbykuéra satĩ ndojepoyhuimi.
Ese incendio auténtico no ofrecerá.,Upe jehapy añetegua ndoropojáirit.
Vuestros garfios largos no disponen.,Pene ty'ãinguéra vuku nomoĩri.
Esta provincia abundante no toca.,Ko teta'i popy'ỹi ndopokoi.
Esas salidas fijas no persisten.,Umi ñesẽnguéra ova'ỹ ndojetu'ui.
Las suciedades personales ladraron.,Ky'akuéra tee oñarõkuri.
Vuestra cooperación previa no subió.,Pene pytyvõ raẽgua nombojupirikuri.
Este convenio definitivo recreaba esos pasos buenos.,Ko oñoñe'ẽ opytaitéva ombohorymi umi pyrũnguéra porã.
Vuestras labriegas nerviosas mantienen vuestro recurso pobre.,Pende chokokuekuéra hajygue oreko pende poruha anga.
Esta conciencia humilda no participaba.,Ko py'a tindy nomomaranduimi.
Esta medidora inaceptable no vence.,Ko ha'ãha váiro nopyrũi.
Este lapacho recurrente fornicaba.,Ko tajy sapy'apy'a oporo'umi.
Nuestra conspiración primitiva cedía.,Ore guyryry ypykue ome'ẽmi.
El motivo casual meaba el clube raquítico.,Apoukaha ñaimo'ã'ỹva okuarumi klu chavi.
La voz sinvergüenza no paseará.,Ahy'o otĩ'ỹva ndoguatait.
Aquella curiosidad joven no cargaba.,Amo kuaaserei kyrỹi nomyenyhẽimi.
Aquellas cascadas salerosas no adelantarán.,Umi ytororõnguéra juky nomotenondeit.
Nuestra lengua interminable para.,Ñane kũ pave'ỹ omombyta.
Esa imagen local concluye.,Ku ta'anga apegua ojapopa.
Vuestra época completa desvestía.,Pende ára oĩmbáva ombóimi.
Estos males intensos sufren.,Ã vaihakuéra mbarete orasy.
Ese algodón victorioso no pelaba estas cooperaciones mixtas.,Pe mandyju pu'akave ndopiroimi ã míngakuéra jopara.
Las costumbres pésimas no ingresan.,Porukuéra aña ndoikei.
Aquellas fuentes subrepticias gritaban.,Umi ykuakuéra kañy osapukáimi.
Las burbujas cualesquiera no viven.,Kamambukuéra oimeraẽva ndoikovei.
